lambda,loop,cost,gamma,ev_additive
0.1,1,0.000001,0.0000001,46.4978200613854
0.1,1,0.000001,0.000001,46.4978199659989
0.1,1,0.000001,0.00001,46.4978190563649
0.1,1,0.000001,0.0001,46.4978177366449
0.1,1,0.000001,0.001,46.4978186766141
0.1,1,0.000001,0.01,46.4978206910442
0.1,1,0.00001,0.000001,46.4978190125915
0.1,1,0.00001,0.0000001,46.4978199664771
0.1,1,0.00001,0.00001,46.4978099148421
0.1,1,0.00001,0.0001,46.4977967125058
0.1,1,0.00001,0.001,46.497806115305
0.1,1,0.0001,0.0000001,46.4978190173725
0.1,1,0.0001,0.000001,46.497809476428
0.1,1,0.0001,0.00001,46.4978008946477
0.1,1,0.0001,0.0001,46.4979063811509
0.1,1,0.0001,0.001,46.4978762143581
0.1,1,0.001,0.000001,46.4978141294413
0.1,1,0.001,0.0000001,46.497809524147
0.1,1,0.001,0.00001,46.4982313981198
0.1,1,0.001,0.0001,46.4992586560493
0.1,1,0.001,0.001,46.4991412793713
0.1,1,0.001,0.01,46.5000076431941
0.1,1,0.01,0.0000001,46.4978157784856
0.1,1,0.01,0.000001,46.4983691248747
0.1,1,0.01,0.00001,46.5008975371853
0.1,1,0.01,0.0001,46.5016609009876
0.1,1,0.01,0.001,46.5033640278386
0.1,1,0.1,0.0000001,46.4983936082904
0.1,1,0.1,0.000001,46.500889748878
0.1,1,0.1,0.00001,46.4614333090359
0.1,1,0.1,0.0001,46.4110072071445
0.1,1,0.1,0.001,46.4306256799219
0.1,1,0.1,0.01,46.5772175064182
0.1,1,1,0.000001,46.4444083590174
0.1,1,1,0.0000001,46.5008457833201
0.1,1,1,0.00001,46.3027889145315
0.1,1,1,0.0001,46.2397910154907
0.1,1,0.1,1000,47.0516011113719
0.1,1,1,0.001,46.2734597386861
0.1,1,1,0.01,47.0783444582032
0.1,1,10,0.0000001,46.4425357294116
0.1,1,10,0.000001,46.2926694490288
0.1,1,10,0.00001,46.2139075156167
0.1,1,10,0.0001,46.1378080701525
0.1,1,10,0.001,46.5120556872929
0.1,1,1,1000,49.4073944759599
0.1,1,100,0.0000001,46.2929979132938
0.1,1,10,0.01,49.0737858707807
0.1,1,100,0.00001,46.1156276251616
0.1,1,100,0.0001,46.0602214206547
0.1,1,10,100,53.011568141605
0.1,1,100,0.001,47.0732147649707
0.1,1,10,1000,53.011568141605
0.1,1,1000,0.0000001,46.2218665628904
0.1,1,1000,0.00001,45.8136915363063
0.1,1,1000,0.0001,45.9248189776408
0.1,1,100,0.01,51.960597903181
0.1,1,100,1000,53.4541762534715
0.1,1,1000,0.1,53.3592703681008
0.1,1,1000,1,53.454170400403
0.1,1,1000,10,53.4541831804595
0.1,1,1000,100,53.4541831804595
0.1,1,1000,0.01,52.4040185820919
