loop,cost,gamma,ev_additive
1,0.00001,0.001,33.6804891051389
1,0.00001,0.00001,33.680561295622
1,0.000001,0.01,33.6805408311577
1,0.00001,0.000001,33.6805607053191
1,0.000001,0.000001,33.6805606461015
1,0.000001,0.00001,33.680560705132
1,0.00001,0.0001,33.6805547205754
1,0.000001,0.001,33.6805555421117
1,0.000001,0.0001,33.6805612920059
1,0.000001,0.1,33.6807843501845
1,0.00001,0.01,33.6811344852572
1,0.000001,1,33.6807816699773
1,0.000001,10,33.6807768217836
1,0.000001,10000,33.6807679429509
1,0.000001,100,33.680771838439
1,0.000001,1000,33.6807680128323
1,0.00001,0.1,33.6836256134525
1,0.0001,0.00001,33.6805546365528
1,0.0001,0.000001,33.6805612974927
1,0.0001,0.0001,33.6804808874961
1,0.0001,0.001,33.680198220964
1,0.0001,0.01,33.6906918622536
1,0.0001,0.1,33.7079977370381
1,0.00001,1,33.682497780845
1,0.00001,10,33.6825899298952
1,0.0001,1,33.699854859924
1,0.00001,100,33.6825401201562
1,0.00001,10000,33.6825011722415
1,0.00001,1000,33.6825018709684
1,0.0001,10,33.700074720776
1,0.001,0.000001,33.6805546344029
1,0.001,0.00001,33.6804800470237
1,0.001,0.0001,33.6801492303083
1,0.001,0.001,33.6881645836743
1,0.001,0.01,33.7189418493266
1,0.0001,100,33.6992369609836
1,0.0001,1000,33.6991149330802
1,0.001,0.1,33.9135797564659
1,0.001,1,33.8747537824351
1,0.01,0.000001,33.6804800255068
1,0.0001,10000,33.6991079998661
1,0.001,10,33.8706142447376
1,0.01,0.00001,33.6801442175137
1,0.001,100,33.8664603030999
1,0.01,0.0001,33.6883647598017
1,0.01,0.01,33.9195648245815
1,0.01,0.001,33.6921680839229
1,0.01,0.1,34.9870303254161
1,0.001,1000,33.8657764946023
1,0.001,10000,33.8657084213849
1,0.01,1,35.1659251220215
1,0.01,10,35.3531901648538
1,0.1,0.000001,33.6801434586767
1,0.1,0.00001,33.6883875559194
1,0.01,100,35.3248927081847
1,0.1,0.0001,33.6838087694443
1,0.01,1000,35.3016046569402
1,0.01,10000,35.3010329892105
1,0.1,0.001,33.6872909442688
1,0.1,0.01,34.8125065844021
1,0.1,0.1,37.6760068934269
1,0.1,1,40.2176653198225
1,1,0.000001,33.6883633795636
1,0.1,10,41.9163961711111
1,1,0.00001,33.6854114358959
1,1,0.0001,33.6401773921274
1,1,0.001,33.9904479263023
1,0.1,100,42.2661535221574
1,0.1,1000,42.2968872567911
1,1,0.01,36.1188292111558
1,0.1,10000,42.2953839514464
1,1,0.1,41.4337683958969
1,1,1,47.4886052627818
1,10,0.000001,33.6848644252518
1,10,0.00001,33.6344921884085
1,1,10,51.3696752278453
1,10,0.0001,33.6563471830527
1,10,0.001,34.9912485468392
1,10,0.01,37.6933920590344
1,1,100,51.7651432892642
1,1,1000,51.8377453227062
1,1,10000,51.8384177064675
1,100,0.000001,33.6345686551501
1,10,0.1,44.8545815102189
1,100,0.00001,33.6157038777748
1,100,0.0001,34.0010622096127
1,10,1,50.811780154858
1,10,10,52.9991971161691
1,100,0.001,35.7011411453038
1,10,100,53.1702293539153
1,10,1000,53.16402352365
1,10,10000,53.1644051138646
1,100,0.01,39.7243636279261
1,1000,0.000001,33.6098241001588
1,1000,0.00001,33.6594735531839
1,1000,0.0001,35.0077751994696
1,100,10,53.1210079667165
1,1000,0.001,36.3898809124821
1,100,100,53.1702047623426
1,100,1000,53.164128369921
1,100,1,52.0845262550028
1,100,10000,53.1643776875188
1,100,0.1,47.3516852849195
1,10000,0.000001,33.5811579550355
1,10000,0.00001,33.9985004192038
1,1000,10,53.1381887274194
1,1000,100,53.170235266801
1,10000,0.0001,35.594716615221
1,1000,1000,53.1640476377048
1,1000,10000,53.1643117732779
1,1000,1,52.5526861455502
1,10000,10,53.1378656937057
1,10000,100,53.1702216638547
1,10000,1000,53.1641018571503
1,10000,10000,53.1642832034666
1,10000,0.001,37.7995467834344
1,10000,1,52.601453142386
1,1000,0.01,41.9047226347765
1,1000,0.1,48.8556621701641
1,10000,0.1,49.6024921617664
1,10000,0.01,43.930612719409
