lambda,cost,gamma,ev_svr
0.1,0.00001,0.0001,-1.77733918642746
0.1,0.000001,0.0001,-1.77985756513783
0.1,0.000001,0.00001,-1.77990406124613
0.1,0.00001,0.000001,-1.7798924848665
0.1,0.0001,0.000001,-1.77769460283728
0.1,0.0001,0.00001,-1.75689578786974
0.1,0.000001,0.000001,-1.78011229313928
0.1,0.00001,0.00001,-1.77781038751147
0.1,0.000001,0.001,-1.77993450249402
0.1,0.00001,0.001,-1.77811469023839
0.1,0.000001,0.01,-1.78000892486208
0.1,0.00001,0.01,-1.7788588336747
0.1,0.00001,1,-1.7795560573337
0.1,0.000001,0.1,-1.78007366976008
0.1,0.00001,0.1,-1.77950625340727
0.1,0.000001,10,-1.780078649542
0.1,0.00001,100,-1.77955605061622
0.1,0.000001,10000,-1.780078649542
0.1,0.000001,1,-1.78007865021377
0.1,0.00001,1000,-1.77955605061622
0.1,0.00001,10000,-1.77955605061622
0.1,0.000001,1000,-1.780078649542
0.1,0.00001,10,-1.77955605061622
0.1,0.000001,100,-1.780078649542
0.1,0.0001,0.0001,-1.75224561961937
0.1,0.0001,0.001,-1.7599278396664
0.1,0.001,0.000001,-1.75573585210137
0.1,0.001,0.00001,-1.54976243056212
0.1,0.001,0.0001,-1.50341120013267
0.1,0.0001,0.01,-1.7673612496154
0.1,0.0001,0.1,-1.7738325221384
0.1,0.0001,1,-1.77433050038367
0.1,0.0001,10,-1.77433043320889
0.1,0.01,0.0001,-0.069299677593901
0.1,0.01,0.000001,-1.53752877354116
0.1,0.01,0.00001,-0.690166143362157
0.1,0.0001,1000,-1.77433043320889
0.1,0.0001,100,-1.77433043320889
0.1,0.0001,10000,-1.77433043320889
0.1,0.001,0.001,-1.57918653239466
0.1,0.01,0.001,-0.441458101223832
0.1,0.001,0.01,-1.65271819046972
0.1,0.001,0.1,-1.7171384353931
0.1,0.001,100,-1.72211692907197
0.1,0.001,1000,-1.72211692907197
0.1,0.001,10000,-1.72211692907197
0.1,0.001,10,-1.72211692907197
0.1,0.001,1,-1.72211211595603
0.1,0.01,0.01,-0.76056249495611
0.1,0.1,0.00001,4.05918994117778
0.1,0.1,0.000001,-0.461077996561238
0.1,0.1,0.0001,6.17976713137252
0.1,0.01,0.1,-1.16932988126407
0.1,0.1,0.001,5.38387375683407
0.1,0.01,1,-1.21390714202761
0.1,0.01,10,-1.21392444997662
0.1,0.1,0.01,4.79841971696953
0.1,0.01,100,-1.21392444997662
0.1,0.01,1000,-1.21392444997662
0.1,0.01,10000,-1.21392444997662
0.1,1,0.0001,10.3679287190495
0.1,1,0.00001,9.4485751793666
0.1,1,0.000001,4.81582658241202
0.1,0.1,0.1,2.92509510353992
0.1,0.1,10,2.5811208649254
0.1,0.1,1,2.58111275700987
0.1,1,0.001,13.0191919417544
0.1,0.1,100,2.5811208649254
0.1,0.1,1000,2.5811208649254
0.1,0.1,10000,2.5811208649254
0.1,1,0.01,22.3905663446971
0.1,1,0.1,24.4670350927098
0.1,10,0.000001,9.64475029927826
0.1,10,0.00001,11.5711796966306
0.1,1,1,23.0991214574755
0.1,10,0.0001,13.981086764795
0.1,1,100,23.0990878298569
0.1,1,1000,23.0990878298569
0.1,1,10,23.0990878298569
0.1,100,0.000001,12.3250102542566
0.1,10,0.001,27.2551418943082
0.1,1,10000,23.0990878298569
0.1,100,0.0001,30.0302120528628
0.1,100,0.00001,21.8507857140372
0.1,100,0.001,44.0798542504696
0.1,10,0.01,44.1363595439019
0.1,10,0.1,49.3825900344723
0.1,10,1,48.7703461657295
0.1,10,10,48.7704100559224
0.1,10,100,48.7704100559224
0.1,10,1000,48.7704100559224
0.1,10,10000,48.7704100559224
0.1,1000,0.000001,25.4709411281242
0.1,1000,0.00001,39.257838352641
0.1,1000,0.0001,43.5646481854885
0.1,100,0.1,52.6045457638946
0.1,100,1,52.4781413907499
0.1,100,10,52.4781498163107
0.1,100,0.01,51.7747166704479
0.1,100,100,52.4781498163107
0.1,10000,0.000001,40.126644633106
0.1,1000,0.001,48.7169256190904
0.1,100,1000,52.4781498163107
0.1,100,10000,52.4781498163107
0.1,10000,0.00001,43.3700623056495
0.1,1000,0.1,52.6045234192718
0.1,1000,1,52.4781408056263
0.1,1000,10,52.4781613547414
0.1,1000,100,52.4781613547414
0.1,10000,0.0001,46.3775295735047
0.1,1000,1000,52.4781613547414
0.1,1000,10000,52.4781613547414
0.1,10000,0.1,52.6045530652171
0.1,10000,1,52.4781450555429
0.1,1000,0.01,52.3253645605562
0.1,10000,10,52.4781784723789
0.1,10000,100,52.4781784723789
0.1,10000,1000,52.4781784723789
0.1,10000,10000,52.4781784723789
0.1,10000,0.01,52.3253965499363
0.1,10000,0.001,51.4170308596884
