cost,gamma,ev_svr
0.00001,0.000001,-1.08502130199378
0.00001,0.00001,-1.08486841282053
0.00001,0.0001,-1.08334724684638
0.000001,0.00001,-1.0850213120066
0.000001,0.0001,-1.08486916584677
0.000001,0.000001,-1.08503660122227
0.000001,0.01,-1.07416180709385

0.000001,1,-1.08436669561184
0.000001,10,-1.08472856703153
0.000001,10000,-1.08478985342031
0.000001,100,-1.08479861686144
0.000001,1000,-1.08478965841229
0.0001,0.000001,-1.08486831269404
0.00001,0.001,-1.06887961070288
0.00001,0.1,-1.01377939259241
0.00001,0.01,-0.977487963847144
0.00001,1,-1.07834737074789
0.0001,0.00001,-1.08333971928061
0.00001,10,-1.08194528484417
0.0001,0.0001,-1.06815762194389
0.0001,0.001,-0.92618353951387
0.00001,100,-1.08264443919323
0.00001,1000,-1.08255451799812
0.0001,0.01,0.15041657831465
0.00001,10000,-1.08255646814368
0.0001,0.1,-0.268855762243122
0.0001,1,-1.02064148601877
0.001,0.000001,-1.0833387181768
0.0001,10,-1.05454061692762
0.001,0.00001,-1.06808261592817
0.001,0.0001,-0.919217883068372
0.001,0.001,0.953026197265608
0.0001,100,-1.06139776542632
0.001,0.1,8.55882154575117
0.0001,1000,-1.06046488311571
0.001,0.01,11.5335737892238
0.0001,10000,-1.06048439110201
0.001,1,0.097241561090941
0.001,10,-0.776490126249232
0.001,100,-0.878441319282382
0.01,0.000001,-1.06807262105294
0.01,0.00001,-0.918494787105076
0.01,0.0001,1.05163580880945
0.01,0.01,30.947028336143
0.01,0.1,26.9633120803169
0.01,0.001,15.4761153477236
0.01,1,10.3677883220704
0.001,1000,-0.86576947171333
0.001,10000,-0.865965204624958
0.01,10,4.93413239905969
0.1,0.000001,-0.918396454612976
0.01,100,3.85935464155061
0.01,1000,3.74454065526467
0.1,0.00001,1.05975228538299
0.1,0.0001,15.8937478808007
0.1,0.001,32.4415441663187
0.01,10000,3.74265373582653
0.1,0.1,36.3225812203088
0.1,0.01,34.6072272594383
0.1,1,32.4401280255695
0.1,10,28.583607500677
1,0.000001,1.06166407907133
1,0.00001,15.9420868988143
1,0.0001,32.4778015848335
0.1,100,26.7937835157286
0.1,1000,26.5712005949161
1,0.001,34.0897213601903
1,0.01,36.2942865260521
0.1,10000,26.5646295977178
1,0.1,41.8703819941119
1,1,47.4092308626988
10,0.000001,15.9467972021616
1,10,50.5139324701166
10,0.00001,32.4736327471222
10,0.0001,33.698418064715
10,0.001,35.095673905757
10,0.01,37.927691235621
1,100,50.5897509392616
1,1000,50.6449607453844
1,10000,50.6450543165452
10,0.1,45.2334602198638
10,1,51.1368435216606
100,0.000001,32.4742048140279
100,0.00001,33.6390949593085
100,0.0001,34.0926500070067
10,10,52.9700346312716
100,0.001,35.7722158019378
10,100,53.037188501815
10,1000,53.0302597208159
100,0.01,39.9576920795138
10,10000,53.0302273599034
1000,0.000001,33.631001729467
1000,0.00001,33.6857122174464
1000,0.0001,35.0987321305433
1000,0.001,36.5509136467735
100,10,53.0787336361804
100,1,52.2686879125621
100,100,53.0371676686044
100,1000,53.0303540786291
100,10000,53.0302096244437
100,0.1,47.6119697714274
10000,0.000001,33.6030974664698
10000,0.00001,34.0695333430345
1000,10,53.0942058830141
10000,0.0001,35.6558775109953
1000,100,53.0372847716362
1000,1000,53.0303683246779
1000,10000,53.0299916158738
1000,1,52.7161588853366
10000,10,53.0943582601993
10000,100,53.0371599883747
10000,1000,53.0303823915252
10000,10000,53.0304120223774
10000,0.001,37.9952791406904
10000,1,52.7707599160294
1000,0.1,49.0315842512765
1000,0.01,42.1493259692348
10000,0.1,49.8016573774064
10000,0.01,44.2552265964361
